food_name,calories,protein,carbs,fats,vit_c,calcium,iron
Double ka meetha,310,10.9,43.2,11.7,0,150,0
Gavvalu,332,4.0,47.5,15.2,0,0,0
Kakinada khaja,251,4.4,48.2,6.7,0,0,0
Kuzhi paniyaram,251,14.1,64.7,5.3,0,0,3
Mysore pak,382,12.5,44.8,20.4,0,150,0
Obbattu holige,322,4.5,49.4,16.3,0,0,0
Palathalikalu,298,10.6,49.4,10.8,0,150,0
Poornalu,242,13.9,59.6,6.3,0,0,3
Pongal,336,4.4,46.7,14.2,0,0,0
Pootharekulu,337,4.9,49.4,16.8,0,0,0
Qubani ka meetha,245,3.6,49.5,4.3,0,0,0
Sheer korma,310,12.7,43.1,11.7,0,150,0
Unni Appam,260,3.5,44.4,6.1,0,0,0
Kajjikaya,250,3.5,48.4,6.1,0,0,0
Anarsa,254,5.0,48.2,5.5,0,0,0
Basundi,296,11.6,45.9,9.8,0,150,0
Dhondas,251,2.4,47.9,6.7,0,0,0
Doodhpak,298,10.9,43.5,11.6,0,150,0
Mahim halwa,250,4.1,48.7,4.8,0,0,0
Modak,258,3.5,48.3,5.0,0,0,0
Shankarpali,321,3.1,47.9,16.3,0,0,0
Shrikhand,303,10.3,46.9,9.5,0,150,0
Sutar feni,337,3.9,47.3,15.7,0,0,0
Maach Jhol,245,29.2,11.8,9.1,15,0,2
Pork Bharta,331,16.6,12.1,20.4,0,0,0
Chak Hao Kheer,304,13.0,45.0,11.1,0,150,0
Galho,241,16.3,12.6,11.1,0,0,0
Aloo gobi,152,3.1,21.0,6.1,20,50,4
Aloo tikki,156,4.9,24.5,6.9,0,0,0
Aloo matar,148,2.0,20.7,4.9,0,0,0
Aloo methi,230,4.1,21.0,14.9,20,50,4
Aloo shimla mirch,151,4.5,24.8,5.5,0,0,0
Bhatura,147,4.9,20.8,6.0,0,0,0
Bhindi masala,160,3.0,22.2,4.9,15,0,0
Biryani,250,29.8,12.4,10.0,0,0,2
Butter chicken,332,31.3,11.2,19.6,0,0,2
Chana masala,222,4.2,24.0,15.9,15,0,0
Chapati,239,3.5,20.5,15.3,0,0,0
Chicken razala,254,30.9,11.9,10.6,0,0,2
Chicken Tikka masala,244,30.3,8.5,11.8,15,0,2
Chicken Tikka,254,30.1,14.3,11.9,0,0,2
Chole bhature,146,3.6,18.6,6.8,0,0,0
Daal baati churma,154,12.1,35.4,4.8,0,0,3
Daal puri,145,14.3,34.8,6.6,0,0,3
Dal makhani ,260,14.0,60.0,6.4,0,0,3
Dal tadka,160,3.0,20.0,5.8,0,0,0
Dum aloo,146,4.7,19.3,6.6,15,0,0
Poha,91,2.9,19.2,5.0,35,50,4
Fara,92,14.6,35.1,6.2,0,0,3
Kachori,105,14.9,38.9,5.6,0,0,3
Kadai paneer,190,11.2,21.5,10.2,0,150,0
Kadhi pakoda,142,12.4,35.9,5.1,20,50,7
Karela bharta,143,4.2,18.4,6.4,0,0,0
Khichdi,150,13.7,37.5,6.8,15,0,3
Kofta,201,13.0,19.5,11.8,0,150,0
Kulfi falooda,241,3.5,50.0,5.5,0,0,0
Lauki ke kofte,144,14.2,38.3,4.1,0,0,3
Lauki ki subji,224,3.5,21.8,16.0,0,0,0
Litti chokha,154,13.3,33.1,6.1,15,0,3
Makki di roti sarson da saag,143,3.1,22.9,5.1,20,50,4
Misi roti,151,3.4,22.4,5.5,0,0,0
Mushroom do pyaza,155,4.3,18.3,5.9,0,0,0
Mushroom matar,201,11.9,21.4,10.3,15,150,0
Naan,240,4.4,23.1,14.9,0,0,0
Navrattan korma,141,2.5,22.1,5.4,0,0,0
Palak paneer,277,11.8,19.5,21.8,20,200,4
Paneer butter masala,283,13.0,23.5,20.8,0,150,0
Paneer tikka masala,190,11.7,20.4,11.1,0,150,0
Pani puri,108,14.4,36.9,6.7,15,0,3
Panjeeri,246,3.0,45.4,4.1,0,0,0
Papad,98,12.9,37.1,5.8,15,0,3
Paratha,227,2.9,24.7,16.8,20,50,4
Pattor,142,12.3,38.7,6.3,0,0,3
Pindi chana,150,4.8,22.7,6.2,15,0,0
Rajma chaval,230,2.2,24.5,17.0,15,0,0
Rongi,225,2.2,20.9,15.9,15,0,0
Samosa,92,5.0,23.6,4.6,0,0,0
Sattu ki roti,234,3.1,21.8,16.6,0,0,0
Shahi paneer,196,10.6,22.0,11.7,15,150,0
Shahi tukra,296,10.2,46.0,11.8,0,150,0
Vegetable jalfrezi,145,3.8,18.9,4.5,0,0,0
Tandoori Chicken,326,16.8,13.6,21.7,0,0,0
Tandoori Fish Tikka,249,30.3,14.1,10.9,0,0,2
Attu,93,14.8,39.7,4.9,0,0,3
Avial,159,12.6,36.2,6.8,0,0,3
Bisi bele bath,156,12.8,33.2,4.2,0,0,3
Currivepillai sadam ,157,13.6,34.3,6.9,20,50,7
Dosa,95,13.0,33.3,5.3,0,0,3
Idiappam,101,3.5,18.6,5.4,0,0,0
Idli,105,14.2,39.3,4.0,0,0,3
Kanji,108,3.4,22.0,4.9,0,0,0
Kaara kozhambu,220,4.1,19.9,16.8,15,0,0
Keerai kootu,230,13.5,33.7,16.3,20,50,7
Keerai masiyal,254,13.9,64.6,6.7,20,50,7
Keerai sadam,152,3.0,23.2,6.4,15,0,0
Keerai poriyal,149,13.2,36.4,4.8,20,50,7
Beef Fry,251,30.8,8.2,9.0,20,50,6
Kootu,141,12.5,38.8,4.9,0,0,3
Kos kootu,156,12.1,34.7,6.8,20,50,7
Koshambri,160,12.2,38.9,4.2,35,50,7
Kothamali sadam,160,14.5,38.0,5.5,20,50,7
Kuzhakkattai,229,3.6,18.3,15.3,0,0,0
Kuzhambu,150,12.2,34.0,4.3,35,50,7
Masala Dosa,92,14.6,35.2,6.1,0,0,3
Pachadi,277,10.9,20.8,19.3,20,200,4
Paniyaram,158,4.5,24.7,4.0,20,50,4
Papadum,190,12.8,36.0,14.3,0,0,3
Paravannam,207,11.0,24.4,10.1,0,150,0
Payasam,301,10.7,45.9,10.5,0,150,0
Paruppu sadam,151,13.9,35.0,4.2,35,50,7
Pesarattu,98,4.9,23.6,5.3,0,0,0
Poriyal,158,12.9,39.0,6.4,0,0,3
Puli sadam,156,14.3,33.8,4.5,35,50,7
Rasam,159,2.7,23.2,6.3,35,50,4
Puttu,248,2.5,47.4,5.1,0,0,0
Sambar,148,2.4,21.1,5.6,0,0,0
Sandige,159,3.6,21.1,5.3,20,50,4
Sevai,228,3.8,19.4,14.1,0,0,0
Thayir sadam,284,22.4,34.8,19.8,20,200,7
Theeyal,227,2.1,22.3,16.3,0,0,0
Uttapam,181,12.3,34.6,14.5,15,0,3
Vada,94,12.2,33.7,6.8,20,50,7
Chicken Varuval,248,31.6,14.7,10.9,15,0,2
Upma,208,14.5,63.6,4.8,20,50,7
Amti,144,13.4,36.4,5.8,20,50,7
Zunka,159,12.1,35.9,4.3,0,0,3
Kolim Jawla,334,30.4,13.0,21.4,0,0,2
Saath,158,12.2,37.7,4.3,0,0,3
Bajri no rotlo,145,4.0,23.9,5.2,0,0,0
Coconut vadi,299,11.2,43.9,10.7,0,150,0
Bhakri,148,4.9,24.9,6.5,0,0,0
Bombil fry,248,14.4,11.6,11.2,0,0,0
Chakali,93,2.7,22.5,5.0,0,0,0
Chevdo,202,12.3,60.2,4.3,0,0,3
Chorafali,93,14.0,37.3,5.7,15,0,3
Copra paak,191,11.3,20.9,10.1,0,150,0
Daal Dhokli,149,14.1,36.1,6.7,0,0,3
Kutchi dabeli,101,2.4,18.4,5.5,0,0,0
Dahi vada,110,14.9,36.4,4.5,0,0,3
Dalithoy,240,12.4,35.8,14.2,20,50,7
Dhokla,102,12.4,38.2,4.4,0,0,3
Dudhi halwa,336,2.7,44.7,16.8,0,0,0
Gatta curry,151,12.9,38.8,5.4,0,0,3
Gud papdi,340,3.6,44.0,16.7,0,0,0
Ghooghra,101,3.6,22.6,4.2,0,0,0
Handwo,93,13.8,38.6,5.6,0,0,3
Halvasan,298,12.0,49.6,10.1,15,150,0
Jeera Aloo,227,3.4,18.6,16.2,15,0,0
Kansar,232,4.9,20.7,16.8,0,0,0
Keri no ras,253,2.5,45.5,4.8,15,0,0
Khakhra,107,13.5,35.3,6.3,0,0,3
Khandvi,91,14.0,36.9,4.8,20,50,7
Kombdi vade,102,13.0,36.4,4.0,0,0,3
Laapsi,236,4.3,23.0,16.8,0,0,0
Koshimbir,142,2.9,23.3,5.6,15,0,0
Methi na Gota,144,13.2,33.7,7.0,35,50,7
Mohanthal,242,14.1,62.7,5.0,0,0,3
Muthiya,110,13.3,34.7,5.9,0,0,3
Patra,108,12.8,36.6,6.5,0,0,3
Pav Bhaji,143,5.0,19.3,6.7,0,0,0
Puri Bhaji,151,14.8,36.1,5.6,20,50,7
Sabudana Khichadi,180,4.6,19.1,17.0,35,50,4
Sev khamani,240,3.6,48.4,5.4,0,0,0
Sev tameta,248,3.8,44.5,5.4,15,0,0
Namakpara,175,4.6,23.8,14.9,0,0,0
Sukhdi,338,3.4,46.4,16.2,0,0,0
Surnoli,97,3.9,19.4,6.1,0,0,0
Thalipeeth,152,3.2,20.3,6.5,0,0,0
Undhiyu,147,3.2,22.0,6.4,0,0,0
Veg Kolhapuri,155,4.3,23.8,4.6,0,0,0
Vindaloo,320,29.9,11.9,19.4,0,0,2
Lilva Kachori,100,3.2,23.3,5.2,15,0,0
Mag Dhokli,172,3.0,24.2,14.0,0,0,0
Khichu,170,3.2,22.8,16.1,0,0,0
Thepla,110,3.7,22.8,4.0,20,50,4
Farsi Puri,189,3.1,22.3,14.7,0,0,0
Khaman,91,13.5,34.5,6.5,0,0,3
Turiya Patra Vatana sabji,255,4.9,49.6,5.0,0,0,0
Churma Ladoo,259,3.7,49.0,4.4,0,0,0
Cheera Doi,308,11.5,48.5,10.5,15,150,0
Gheela Pitha,247,3.1,46.7,4.2,0,0,0
Khar,240,5.0,23.1,14.9,0,0,0
Kumol Sawul,258,14.0,9.2,9.1,0,0,0
Luchi,234,2.1,18.0,16.2,0,0,0
Alu Pitika,335,31.0,11.3,19.1,0,0,2
Masor tenga,340,32.0,14.1,21.6,15,0,2
Bengena Pitika,151,4.7,19.0,4.5,20,50,4
Bilahi Maas,329,14.8,14.1,19.8,15,0,0
Black rice,323,30.1,13.7,20.3,0,0,2
Bora Sawul,141,3.6,20.9,6.3,0,0,0
Brown Rice,224,3.1,20.0,14.5,0,0,0
Chingri malai curry,291,23.5,13.3,14.6,0,150,0
Goja,328,4.8,47.4,16.5,0,0,0
Hando Guri,245,3.2,43.9,5.9,0,0,0
Haq Maas,309,24.1,12.3,16.5,0,150,0
Chingri Bhape,294,23.2,11.9,17.0,0,150,0
Kabiraji,246,31.8,10.3,12.0,15,0,2
Khorisa,226,2.4,22.2,15.6,0,0,0
Koldil Chicken,330,29.7,12.7,20.7,15,0,2
Konir Dom,330,16.0,13.1,20.0,15,0,0
Koldil Duck,332,40.1,23.5,21.2,0,0,5
Masor Koni,339,29.0,13.4,20.9,15,0,2
Mishti Chholar Dal,244,13.1,62.9,6.4,0,0,3
Pakhala,197,12.5,24.4,11.9,20,200,4
Pani Pitha,152,2.0,21.0,4.1,20,50,4
Payokh,328,3.3,48.9,15.8,0,0,0
Prawn malai curry,409,25.0,33.0,16.6,0,150,0
Red Rice,226,2.8,18.4,15.1,0,0,0
Shukto,159,3.3,20.8,6.1,0,0,0
Til Pitha,250,3.7,47.6,4.8,0,0,0
Bebinca,382,11.2,46.8,20.6,0,150,0
Shufta,290,10.1,44.2,9.1,0,150,0
Mawa Bati,301,12.9,46.6,10.9,0,150,0
Pinaca,252,4.5,43.1,6.8,0,0,0
Papaya,43.3,0.5,10.7,0.2,60.9,20.0,0.25
Guava,68.2,2.6,14.1,1.0,228.0,18.0,0.3
Watermelon,30.6,0.6,8.2,0.2,8.1,7.0,0.2
Grapes,69.3,0.7,17.7,0.16,3.2,10.0,0.36
Orange,46.8,0.9,12.2,0.1,53.2,40.0,0.1
Apple,52.3,0.3,14.3,0.2,4.6,6.0,0.1
Pineapple,49.4,0.5,13.0,0.1,47.8,13.0,0.3
Strawberry,31.6,0.7,7.9,0.3,58.8,16.0,0.4
Banana,96.4,1.3,26.7,0.3,8.7,5.0,0.3
Mango,61.0,0.8,15.3,0.4,36.4,11.0,0.2
